name,gender
 Aathifah ,F
 Aathirah ,F
 Abadiah ,F
 Abella ,F
 Abidah ,F
 Abigail ,F
 Abirah ,F
 Abiyyah ,F
 Adawiyah ,F
 Adeline ,F
 Adiba ,F
 Adibah ,F
 Adila ,F
 Adilah ,F
 Adinda ,F
 Adonia ,F
 Adresia ,F
 Adriana ,F
 Afanin ,F
 Afia ,F
 Afifah ,F
 Afra ,F
 Afrin ,F
 Afsana ,F
 Afshin ,F
 Agatha ,F
 Aida ,F
 Aidah ,F
 Ainiyah ,F
 Aisha ,F
 Aisyah ,F
 Akifa ,F
 Akifah ,F
 Alana ,F
 Alea ,F
 Alexa ,F
 Alfa ,F
 Aliah ,F
 Alifa ,F
 Alya ,F
 Amalia ,F
 Amanda ,F
 Amany ,F
 Amelia ,F
 Amimah ,F
 Aminah ,F
 Amira ,F
 Ariana ,F
 Aribah ,F
 Aridhah ,F
 Ariel ,F
 Arikah ,F
 Arinah ,F
 Asahy ,F
 Ashilah ,F
 Ashiyah ,F
 Asilah ,F
 Astri ,F
 Asyiqah ,F
 Athifa ,F
 Athiyyah ,F
 Atiah ,F
 Atifa ,F
 Atikah ,F
 Atiya ,F
 Atmarini ,F
 Aurora ,F
 Ayudia ,F
 Azaliyyah ,F
 Azifah ,F
 Badia ,F
 Badilah ,F
 Badinah ,F
 Badirah ,F
 Badiyah ,F
 Badriyah ,F
 Bahira ,F
 Bahiyyah ,F
 Bariqah ,F
 Barizah ,F
 Basilah ,F
 Basimah ,F
 Basmah ,F
 Basmina ,F
 Bassamah ,F
 Basyarah ,F
 Basyirah ,F
 Bazilah ,F
 Bazirah ,F
 Bilqis ,F
 Bina ,F
 Busyra ,F
 Butsainah ,F
 Camilla ,F
 Cantara ,F
 Ceisya ,F
 Chairiah ,F
 Chandani ,F
 Chessy ,F
 Choiriyah ,F
 Ciara ,F
 Dafinah ,F
 Dahimah ,F
 Daimah ,F
 Dajinah ,F
 Daliah ,F
 Dalilah ,F
 Daliyah ,F
 Damia ,F
 Daniah ,F
 Danifah ,F
 Daniyah ,F
 Dawamah ,F
 Dayyinah ,F
 Dhafiyah ,F
 Dhaifah ,F
 Dimah ,F
 Dina ,F
 Diyanah ,F
 Durah ,F
 Durriyah ,F
 Dzakiyyah ,F
 Dzihni ,F
 Dzihniyyah ,F
 Dzikra ,F
 Eliza ,F
 Elma ,F
 Erina ,F
 Ermina ,F
 Eshal ,F
 Ezzah ,F
 Fadhila ,F
 Fadhilah ,F
 Fadiyah ,F
 Fadwa ,F
 Fadwah ,F
 Fahima ,F
 Fahimah ,F
 Faiha ,F
 Fairuza ,F
 Faizah ,F
 Fajrina ,F
 Fakhirah ,F
 Fakhrani ,F
 Fakhriyah ,F
 Fakihah ,F
 Farhah ,F
 Fariah ,F
 Farida ,F
 Farihah ,F
 Aathifah ,F
 Aathirah ,F
 Abadiah ,F
 Abella ,F
 Abidah ,F
 Abigail ,F
 Abirah ,F
 Abiyyah ,F
 Adawiyah ,F
 Adeline ,F
 Adiba ,F
 Adibah ,F
 Adila ,F
 Adilah ,F
 Adinda ,F
 Adonia ,F
 Adresia ,F
 Adriana ,F
 Afanin ,F
 Afia ,F
 Afifah ,F
 Afra ,F
 Afrin ,F
 Afsana ,F
 Afshin ,F
 Agatha ,F
 Aida ,F
 Aidah ,F
 Ainiyah ,F
 Aisha ,F
 Aisyah ,F
 Akifa ,F
 Akifah ,F
 Alana ,F
 Alea ,F
 Alexa ,F
 Alfa ,F
 Aliah ,F
 Alifa ,F
 Alya ,F
 Amalia ,F
 Amanda ,F
 Amany ,F
 Amelia ,F
 Amimah ,F
 Aminah ,F
 Amira ,F
 Ariana ,F
 Aribah ,F
 Aridhah ,F
 Ariel ,F
 Arikah ,F
 Arinah ,F
 Asahy ,F
 Ashilah ,F
 Ashiyah ,F
 Asilah ,F
 Astri ,F
 Asyiqah ,F
 Athifa ,F
 Athiyyah ,F
 Atiah ,F
 Atifa ,F
 Atikah ,F
 Atiya ,F
 Atmarini ,F
 Aurora ,F
 Ayudia ,F
 Azaliyyah ,F
 Azifah ,F
 Badia ,F
 Badilah ,F
 Badinah ,F
 Badirah ,F
 Badiyah ,F
 Badriyah ,F
 Bahira ,F
 Bahiyyah ,F
 Bariqah ,F
 Barizah ,F
 Basilah ,F
 Basimah ,F
 Basmah ,F
 Basmina ,F
 Bassamah ,F
 Basyarah ,F
 Basyirah ,F
 Bazilah ,F
 Bazirah ,F
 Bilqis ,F
 Bina ,F
 Busyra ,F
 Butsainah ,F
 Camilla ,F
 Cantara ,F
 Ceisya ,F
 Chairiah ,F
 Chandani ,F
 Chessy ,F
 Choiriyah ,F
 Ciara ,F
 Dafinah ,F
 Dahimah ,F
 Daimah ,F
 Dajinah ,F
 Daliah ,F
 Dalilah ,F
 Daliyah ,F
 Damia ,F
 Daniah ,F
 Danifah ,F
 Daniyah ,F
 Dawamah ,F
 Dayyinah ,F
 Dhafiyah ,F
 Dhaifah ,F
 Dimah ,F
 Dina ,F
 Diyanah ,F
 Durah ,F
 Durriyah ,F
 Dzakiyyah ,F
 Dzihni ,F
 Dzihniyyah ,F
 Dzikra ,F
 Eliza ,F
 Elma ,F
 Erina ,F
 Ermina ,F
 Eshal ,F
 Ezzah ,F
 Fadhila ,F
 Fadhilah ,F
 Fadiyah ,F
 Fadwa ,F
 Fadwah ,F
 Fahima ,F
 Fahimah ,F
 Faiha ,F
 Fairuza ,F
 Faizah ,F
 Fajrina ,F
 Fakhirah ,F
 Fakhrani ,F
 Fakhriyah ,F
 Fakihah ,F
 Farhah ,F
 Fariah ,F
 Farida ,F
 Farihah ,F
 Farisah ,F
 Farizah ,F
 Farwizah ,F
 Fashihah ,F
 Fataniah ,F
 Fathiyyah ,F
 Fatihah ,F
 Fatima ,F
 Fatimah ,F
 Fatin ,F
 Fatiyyah ,F
 Fauziyah ,F
 Fauziyyah ,F
 Fazila ,F
 Felicia ,F
 Ferda ,F
 Fernanda ,F
 Fida ,F
 Fikriyyah ,F
 Fildzah ,F
 Fiona ,F
 Firda ,F
